Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"AUSTRALASIAN JOURNAL ON AGEING","AUSTRALAS J AGEING","WILEY","1440-6381","1741-6612","GERIATRICS & GERONTOLOGY","SCIE","1,876","1.8","0.44","1.9","59.39"%,"96.04"%,"101",
"AUSTRALASIAN JOURNAL ON AGEING","AUSTRALAS J AGEING","WILEY","1440-6381","1741-6612","GERONTOLOGY","SSCI","1,876","1.8","0.44","1.9","59.39"%,"96.04"%,"101",
"BRITISH JOURNAL OF INDUSTRIAL RELATIONS","BRIT J IND RELAT","WILEY","0007-1080","1467-8543","INDUSTRIAL RELATIONS & LABOR","SSCI","1,874","2.2","0.81","2.5","63.37"%,"100"%,"41",
"Economic Change and Restructuring","ECON CHANG RESTRUCT","SPRINGER","1573-9414","1574-0277","ECONOMICS","SSCI","1,870","4.3","1.48","4.2","9.38"%,"100"%,"189",
"Corporate Communications","CORP COMMUN","EMERALD GROUP PUBLISHING LTD","1356-3289","1758-6046","BUSINESS","ESCI","1,861","3.3","0.55","3.1","10.47"%,"95.45"%,"66",
"AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT","AFR DEV REV","WILEY","1017-6772","1467-8268","DEVELOPMENT STUDIES","SSCI","1,768","3.1","0.97","3.2","6.9"%,"98.25"%,"57",
"American Economic Journal-Microeconomics","AM ECON J-MICROECON","AMER ECONOMIC ASSOC","1945-7669","1945-7685","ECONOMICS","SSCI","1,767","2.1","0.68","2.4","0"%,"100"%,"52",
"CONTEMPORARY SOCIOLOGY-A JOURNAL OF REVIEWS","CONTEMP SOCIOL","SAGE PUBLICATIONS INC","0094-3061","1939-8638","SOCIOLOGY","SSCI","1,762","0.5","0.08","0.6","1.3"%,"33.33"%,"18",
"Annual Review of Financial Economics","ANNU REV FINANC ECON","ANNUAL REVIEWS","1941-1367","1941-1375","BUSINESS, FINANCE","SSCI","1,746","5.2","1.15","6.5","38.16"%,"47.62"%,"21",
"Annual Review of Financial Economics","ANNU REV FINANC ECON","ANNUAL REVIEWS","1941-1367","1941-1375","ECONOMICS","SSCI","1,746","5.2","1.15","6.5","38.16"%,"47.62"%,"21",
"DATA & KNOWLEDGE ENGINEERING","DATA KNOWL ENG","ELSEVIER","0169-023X","1872-6933","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,736","2.6","0.56","2.3","25.44"%,"98.65"%,"74",
"DATA & KNOWLEDGE ENGINEERING","DATA KNOWL ENG","ELSEVIER","0169-023X","1872-6933","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","1,736","2.6","0.56","2.3","25.44"%,"98.65"%,"74",
"Development Policy Review","DEV POLICY REV","WILEY","0950-6764","1467-7679","DEVELOPMENT STUDIES","SSCI","1,730","1.4","0.58","1.8","50"%,"100"%,"54",
"Accounting Forum","ACCOUNT FORUM","TAYLOR & FRANCIS LTD","0155-9982","1467-6303","BUSINESS, FINANCE","SSCI","1,720","3.4","0.78","4","52.75"%,"93.55"%,"31",
"AUSTRALIAN JOURNAL OF PSYCHOLOGY","AUST J PSYCHOL","TAYLOR & FRANCIS LTD","0004-9530","1742-9536","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","1,713","1.6","0.9","4","100"%,"89.19"%,"37",
"AUSTRALIAN JOURNAL OF MANAGEMENT","AUST J MANAGE","SAGE PUBLICATIONS LTD","0312-8962","1327-2020","BUSINESS","SSCI","1,686","2.1","0.42","4.6","25.83"%,"100"%,"32",
"AUSTRALIAN JOURNAL OF MANAGEMENT","AUST J MANAGE","SAGE PUBLICATIONS LTD","0312-8962","1327-2020","MANAGEMENT","SSCI","1,686","2.1","0.42","4.6","25.83"%,"100"%,"32",
"ASIAN SURVEY","ASIAN SURV","UNIV CALIFORNIA PRESS","0004-4687","1533-838X","AREA STUDIES","SSCI","1,636","1.2","1.52","1","1.44"%,"100"%,"47",
"Accounting Education","ACCOUNT EDUC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0963-9284","1468-4489","BUSINESS, FINANCE","ESCI","1,614","2.3","0.69","3.7","29.27"%,"100"%,"42",
"CRIME LAW AND SOCIAL CHANGE","CRIME LAW SOCIAL CH","SPRINGER","0925-4994","1573-0751","CRIMINOLOGY & PENOLOGY","SSCI","1,555","1.3","0.62","1.6","41.03"%,"100"%,"44",
"CRIME LAW AND SOCIAL CHANGE","CRIME LAW SOCIAL CH","SPRINGER","0925-4994","1573-0751","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","1,555","1.3","0.62","1.6","41.03"%,"100"%,"44",
"Advances in Developing Human Resources","ADV DEV HUM RESOUR","SAGE PUBLICATIONS INC","1523-4223","1552-3055","INDUSTRIAL RELATIONS & LABOR","ESCI","1,534","2.4","1.23","3.2","2.44"%,"100"%,"8",
"Agribusiness","AGRIBUSINESS","WILEY","0742-4477","1520-6297","AGRICULTURAL ECONOMICS & POLICY","SCIE","1,531","2","0.66","2.6","40.53"%,"100"%,"113",
"Agribusiness","AGRIBUSINESS","WILEY","0742-4477","1520-6297","ECONOMICS","SSCI","1,531","2","0.66","2.6","40.53"%,"100"%,"113",
"Agribusiness","AGRIBUSINESS","WILEY","0742-4477","1520-6297","FOOD SCIENCE & TECHNOLOGY","SCIE","1,531","2","0.66","2.6","40.53"%,"100"%,"113",
"Active Learning in Higher Education","ACT LEARN HIGH EDUC","SAGE PUBLICATIONS INC","1469-7874","1741-2625","EDUCATION & EDUCATIONAL RESEARCH","SSCI","1,528","3.2","2.39","5","15.96"%,"100"%,"33",
"BUSINESS HISTORY","BUS HIST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0007-6791","1743-7938","BUSINESS","SSCI","1,517","1.3","0.82","1.4","51.98"%,"100"%,"66",
"BUSINESS HISTORY","BUS HIST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0007-6791","1743-7938","HISTORY OF SOCIAL SCIENCES","SSCI","1,517","1.3","0.82","1.4","51.98"%,"100"%,"66",
"CONFLICT MANAGEMENT AND PEACE SCIENCE","CONFLICT MANAG PEACE","SAGE PUBLICATIONS INC","0738-8942","1549-9219","INTERNATIONAL RELATIONS","SSCI","1,516","1.4","0.79","2.3","19"%,"100"%,"36",
"Development Southern Africa","DEV SO AFR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0376-835X","1470-3637","DEVELOPMENT STUDIES","SSCI","1,512","1.3","0.33","1.8","37.5"%,"100"%,"58",
"China & World Economy","CHINA WORLD ECON","WILEY","1671-2234","1749-124X","ECONOMICS","SSCI","1,499","3.6","1.21","3.8","11.56"%,"100"%,"48",
"Chinese Management Studies","CHIN MANAG STUD","EMERALD GROUP PUBLISHING LTD","1750-614X","1750-6158","MANAGEMENT","SSCI","1,483","2.3","0.49","2.7","0.9"%,"100"%,"93",
"Asia Pacific Journal of Human Resources","ASIA PAC J HUM RESOU","WILEY","1038-4111","1744-7941","INDUSTRIAL RELATIONS & LABOR","SSCI","1,472","4.5","1.26","4.2","17.5"%,"95.24"%,"21",
"Asia Pacific Journal of Human Resources","ASIA PAC J HUM RESOU","WILEY","1038-4111","1744-7941","MANAGEMENT","SSCI","1,472","4.5","1.26","4.2","17.5"%,"95.24"%,"21",
"DEFENCE AND PEACE ECONOMICS","DEFENCE PEACE ECON","TAYLOR & FRANCIS LTD","1024-2694","1476-8267","ECONOMICS","SSCI","1,468","1.6","0.45","2.1","22.6"%,"90.91"%,"44",
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","1,458","3.1","0.86","3","3.65"%,"100"%,"63",
"Aslib Journal of Information Management","ASLIB J INFORM MANAG","EMERALD GROUP PUBLISHING LTD","2050-3806","1758-3748","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,458","3.1","0.86","3","3.65"%,"100"%,"63",
"Communication & Sport","COMMUN SPORT","SAGE PUBLICATIONS INC","2167-4795","2167-4809","COMMUNICATION","SSCI","1,457","2.8","1.07","3.5","17.39"%,"100"%,"67",
"Communication & Sport","COMMUN SPORT","SAGE PUBLICATIONS INC","2167-4795","2167-4809","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","1,457","2.8","1.07","3.5","17.39"%,"100"%,"67",
"ECONOMIC AND INDUSTRIAL DEMOCRACY","ECON IND DEMOCRACY","SAGE PUBLICATIONS LTD","0143-831X","1461-7099","INDUSTRIAL RELATIONS & LABOR","SSCI","1,453","2.3","0.82","2.4","44.87"%,"98.18"%,"55",
"DUKE LAW JOURNAL","DUKE LAW J","DUKE UNIV","0012-7086","1939-9111","LAW","SSCI","1,448","2","2.32","2.1","0"%,"100"%,"29",
"AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION","AUST J PUBL ADMIN","WILEY","0313-6647","1467-8500","PUBLIC ADMINISTRATION","SSCI","1,425","2.1","0.88","2.3","69.77"%,"100"%,"51",
"Economics Bulletin","ECON BULL","ECONOMICS BULLETIN","1545-2921","1545-2921","ECONOMICS","ESCI","1,419","0.2","0.06","0.4","0"%,"100"%,"97",
"American Economic Review-Insights","AM ECON REV INSIGHTS","AMER ECONOMIC ASSOC","2640-205X","2640-2068","ECONOMICS","SSCI","1,400","6.7","2.18","8.9","0"%,"100"%,"34",
"Economic Systems Research","ECON SYST RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0953-5314","1469-5758","ECONOMICS","SSCI","1,398","1.6","0.64","2.1","24.19"%,"100"%,"21",
"Competitiveness Review","COMPET REV","EMERALD GROUP PUBLISHING LTD","1059-5422","2051-3143","BUSINESS","ESCI","1,387","3.2","0.6","3.6","9.43"%,"91.23"%,"57",
"CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE","CAN J STAT","WILEY","0319-5724","1708-945X","STATISTICS & PROBABILITY","SCIE","1,385","1","0.46","1","26.12"%,"100"%,"29",
"Academy of Management Discoveries","ACAD MANAG DISCOV","ACAD MANAGEMENT","N/A","2168-1007","MANAGEMENT","SSCI","1,359","4.8","1.07","6.2","0"%,"100"%,"26",
"Asia Pacific Management Review","ASIA PAC MANAG REV","ELSEVIER TAIWAN","1029-3132","1029-3132","MANAGEMENT","ESCI","1,355","5.6","1.48","5.1","98.25"%,"91.67"%,"24",
"COMMON MARKET LAW REVIEW","COMMON MKT LAW REV","KLUWER LAW INT","0165-0750","1875-8320","INTERNATIONAL RELATIONS","SSCI","1,341","2.1","1.44","1.9","0"%,"100"%,"46",
"COMMON MARKET LAW REVIEW","COMMON MKT LAW REV","KLUWER LAW INT","0165-0750","1875-8320","LAW","SSCI","1,341","2.1","1.44","1.9","0"%,"100"%,"46",
"CORPORATE REPUTATION REVIEW","CORP REPUT REV","PALGRAVE MACMILLAN LTD","1363-3589","1479-1889","BUSINESS","ESCI","1,316","1.6","0.34","2.4","28.99"%,"100"%,"32",
"Asia Pacific Business Review","ASIA PAC BUS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1360-2381","1743-792X","BUSINESS","SSCI","1,314","1.9","0.38","2.2","9.04"%,"97.37"%,"76",
"Asia Pacific Business Review","ASIA PAC BUS REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1360-2381","1743-792X","MANAGEMENT","SSCI","1,314","1.9","0.38","2.2","9.04"%,"97.37"%,"76",
"Community Work & Family","COMMUNITY WORK FAM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1366-8803","1469-3615","SOCIOLOGY","ESCI","1,304","1.5","0.9","2.3","31.78"%,"100"%,"51",
"Central European Journal of Operations Research","CENT EUR J OPER RES","SPRINGER","1435-246X","1613-9178","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,296","2.3","0.41","2","57.23"%,"100"%,"59",
"Anatolia-International Journal of Tourism and Hospitality Research","ANATOLIA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1303-2917","2156-6909","HOSPITALITY, LEISURE, SPORT & TOURISM","ESCI","1,293","1.4","0.38","2","11.66"%,"100"%,"50",
"Abacus-A Journal of Accounting Finance and Business Studies","ABACUS","WILEY","0001-3072","1467-6281","BUSINESS, FINANCE","SSCI","1,266","2.3","0.59","2.9","40.22"%,"100"%,"40",
"APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY","APPL STOCH MODEL BUS","WILEY","1524-1904","1526-4025","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","1,260","1.5","0.48","1.4","34.62"%,"100"%,"69",
"APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY","APPL STOCH MODEL BUS","WILEY","1524-1904","1526-4025","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,260","1.5","0.48","1.4","34.62"%,"100"%,"69",
"APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY","APPL STOCH MODEL BUS","WILEY","1524-1904","1526-4025","STATISTICS & PROBABILITY","SCIE","1,260","1.5","0.48","1.4","34.62"%,"100"%,"69",
"Competition & Change","COMPET CHANG","SAGE PUBLICATIONS LTD","1024-5294","1477-2221","BUSINESS","SSCI","1,209","3.4","0.87","4.3","55.45"%,"100"%,"39",
"Competition & Change","COMPET CHANG","SAGE PUBLICATIONS LTD","1024-5294","1477-2221","ECONOMICS","SSCI","1,209","3.4","0.87","4.3","55.45"%,"100"%,"39",
"Competition & Change","COMPET CHANG","SAGE PUBLICATIONS LTD","1024-5294","1477-2221","GEOGRAPHY","SSCI","1,209","3.4","0.87","4.3","55.45"%,"100"%,"39",
"AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY","AM J ECON SOCIOL","WILEY","0002-9246","1536-7150","ECONOMICS","SSCI","1,193","1","0.4","1.2","16.31"%,"100"%,"42",
"AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY","AM J ECON SOCIOL","WILEY","0002-9246","1536-7150","SOCIOLOGY","SSCI","1,193","1","0.4","1.2","16.31"%,"100"%,"42",
"CONTEMPORARY ECONOMIC POLICY","CONTEMP ECON POLICY","WILEY","1074-3529","1465-7287","ECONOMICS","SSCI","1,192","1.9","0.56","1.4","24.53"%,"100"%,"42",
"CONTEMPORARY ECONOMIC POLICY","CONTEMP ECON POLICY","WILEY","1074-3529","1465-7287","PUBLIC ADMINISTRATION","SSCI","1,192","1.9","0.56","1.4","24.53"%,"100"%,"42",
"Australian Accounting Review","AUST ACCOUNT REV","WILEY","1035-6908","1835-2561","BUSINESS, FINANCE","SSCI","1,182","3.3","0.84","3.3","55"%,"100"%,"19",
"Computer Supported Cooperative Work-The Journal of Collaborative Computing and Work Practices","COMPUT SUPP COOP W J","SPRINGER","0925-9724","1573-7551","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,165","2.3","0.4","2.7","69.62"%,"100"%,"22",
"AQUACULTURE ECONOMICS & MANAGEMENT","AQUACULT ECON MANAG","TAYLOR & FRANCIS INC","1365-7305","1551-8663","AGRICULTURAL ECONOMICS & POLICY","SCIE","1,163","3.7","1.5","4","21.05"%,"80.77"%,"26",
"AQUACULTURE ECONOMICS & MANAGEMENT","AQUACULT ECON MANAG","TAYLOR & FRANCIS INC","1365-7305","1551-8663","FISHERIES","SCIE","1,163","3.7","1.5","4","21.05"%,"80.77"%,"26",
"Critical Discourse Studies","CRIT DISCOURSE STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1740-5904","1740-5912","COMMUNICATION","SSCI","1,157","2.1","1.02","2.4","41.32"%,"94.29"%,"35",
"Asia-Pacific Journal of Business Administration","ASIA-PAC J BUS ADM","EMERALD GROUP PUBLISHING LTD","1757-4323","1757-4331","BUSINESS","ESCI","1,135","4.6","0.77","4.5","2.63"%,"98.11"%,"53",
"Annals of Leisure Research","ANN LEIS RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1174-5398","2159-6816","HOSPITALITY, LEISURE, SPORT & TOURISM","ESCI","1,134","2","0.48","2.6","43.28"%,"100"%,"17",
"Baltic Journal of Management","BALT J MANAG","EMERALD GROUP PUBLISHING LTD","1746-5265","1746-5273","MANAGEMENT","SSCI","1,128","2.5","0.66","3.2","14.52"%,"100"%,"38",
"BOSTON UNIVERSITY LAW REVIEW","BOSTON U LAW REV","BOSTON UNIV LAW REVIEW","0006-8047","0006-8047","LAW","SSCI","1,120","1.7","1.86","1.5","0"%,"100"%,"49",
"Annals of Public and Cooperative Economics","ANN PUBLIC COOP ECON","WILEY","1370-4788","1467-8292","ECONOMICS","SSCI","1,118","2.5","0.8","2.3","39.66"%,"100"%,"25",
"CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE","CAN J AGR ECON","WILEY","0008-3976","1744-7976","AGRICULTURAL ECONOMICS & POLICY","SCIE","1,110","2.1","0.91","3.6","45.45"%,"100"%,"30",
"CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE","CAN J AGR ECON","WILEY","0008-3976","1744-7976","ECONOMICS","SSCI","1,110","2.1","0.91","3.6","45.45"%,"100"%,"30",
"Built Environment Project and Asset Management","BUILT ENVIRON PROJ A","EMERALD GROUP PUBLISHING LTD","2044-124X","2044-1258","ENGINEERING, CIVIL","ESCI","1,109","2.2","0.42","2.6","5.81"%,"93.65"%,"63",
"COMMUNITY DEVELOPMENT JOURNAL","COMMUNITY DEV J","OXFORD UNIV PRESS","0010-3802","1468-2656","DEVELOPMENT STUDIES","SSCI","1,106","1.1","0.37","1.5","23.97"%,"97.87"%,"47",
"CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION","CAN J ADM SCI","WILEY","0825-0383","1936-4490","BUSINESS","SSCI","1,101","0.9","0.23","1.5","18.09"%,"96"%,"25",
"CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION","CAN J ADM SCI","WILEY","0825-0383","1936-4490","MANAGEMENT","SSCI","1,101","0.9","0.23","1.5","18.09"%,"96"%,"25",
"Discourse & Communication","DISCOURSE COMMUN","SAGE PUBLICATIONS INC","1750-4813","1750-4821","COMMUNICATION","SSCI","1,087","2.2","1","2.3","21.37"%,"100"%,"56",
"Economics & Politics","ECON POLIT-OXFORD","WILEY PERIODICALS, INC","0954-1985","1468-0343","ECONOMICS","SSCI","1,072","1.4","0.61","1.7","34.48"%,"100"%,"53",
"Economics & Politics","ECON POLIT-OXFORD","WILEY PERIODICALS, INC","0954-1985","1468-0343","POLITICAL SCIENCE","SSCI","1,072","1.4","0.61","1.7","34.48"%,"100"%,"53",
"Astin Bulletin-The Journal of the International Actuarial Association","ASTIN BULL","CAMBRIDGE UNIV PRESS","0515-0361","1783-1350","ECONOMICS","SSCI","1,071","1.8","0.75","2.2","45.88"%,"100"%,"32",
"Astin Bulletin-The Journal of the International Actuarial Association","ASTIN BULL","CAMBRIDGE UNIV PRESS","0515-0361","1783-1350","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","1,071","1.8","0.75","2.2","45.88"%,"100"%,"32",
"Astin Bulletin-The Journal of the International Actuarial Association","ASTIN BULL","CAMBRIDGE UNIV PRESS","0515-0361","1783-1350","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","1,071","1.8","0.75","2.2","45.88"%,"100"%,"32",
"Astin Bulletin-The Journal of the International Actuarial Association","ASTIN BULL","CAMBRIDGE UNIV PRESS","0515-0361","1783-1350","STATISTICS & PROBABILITY","SCIE","1,071","1.8","0.75","2.2","45.88"%,"100"%,"32",
"China Finance Review International","CHINA FINANC REV INT","EMERALD GROUP PUBLISHING LTD","2044-1398","2044-1401","BUSINESS, FINANCE","ESCI","1,063","7.6","2.41","5.8","3.16"%,"100"%,"41",
"Consumption Markets & Culture","CONSUMP MARK CULT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1025-3866","1477-223X","BUSINESS","SSCI","1,025","2.3","0.41","2.4","42.47"%,"93.75"%,"16",
"AMERICAN JOURNAL OF COMPARATIVE LAW","AM J COMP LAW","OXFORD UNIV PRESS INC","0002-919X","2326-9197","LAW","SSCI","1,023","1","1.14","1.3","18.29"%,"100"%,"21",
"CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES","CAN PUBLIC POL","UNIV TORONTO PRESS INC","0317-0861","1911-9917","ECONOMICS","SSCI","1,008","1.4","0.54","1.9","4.26"%,"100"%,"31",
"CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES","CAN PUBLIC POL","UNIV TORONTO PRESS INC","0317-0861","1911-9917","PUBLIC ADMINISTRATION","SSCI","1,008","1.4","0.54","1.9","4.26"%,"100"%,"31",
"China Journal of Accounting Research","CHINA J ACCOUNT RES","ELSEVIER","1755-3091","1755-3091","BUSINESS, FINANCE","ESCI","998","4","0.84","4.6","94.68"%,"100"%,"32",
"BUSINESS HISTORY REVIEW","BUS HIST REV","CAMBRIDGE UNIV PRESS","0007-6805","2044-768X","BUSINESS","SSCI","981","1.2","0.69","1.5","18.92"%,"85.71"%,"21",
"BUSINESS HISTORY REVIEW","BUS HIST REV","CAMBRIDGE UNIV PRESS","0007-6805","2044-768X","HISTORY OF SOCIAL SCIENCES","SSCI","981","1.2","0.69","1.5","18.92"%,"85.71"%,"21",
"CRITICAL STUDIES IN MEDIA COMMUNICATION","CRIT STUD MEDIA COMM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1529-5036","1479-5809","COMMUNICATION","SSCI","978","1.5","0.56","1.6","2.53"%,"100"%,"28",
"CRITICAL ASIAN STUDIES","CRIT ASIAN STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1467-2715","1472-6033","AREA STUDIES","SSCI","976","1.4","1.86","2.7","26.88"%,"91.43"%,"35",
"Advances in Accounting","ADV ACCOUNT","ELSEVIER","0882-6110","1046-5715","BUSINESS, FINANCE","ESCI","966","1.5","0.37","2","7.29"%,"100"%,"43",
"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS","DATA BASE ADV INF SY","ASSOC COMPUTING MACHINERY","0095-0033","1532-0936","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","965","1.5","0.59","3.1","0"%,"95.83"%,"24",
"AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS","AUST J INT AFF","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1035-7718","1465-332X","INTERNATIONAL RELATIONS","SSCI","932","2.7","1.04","2","38.74"%,"97.87"%,"47",
"AUSTRALIAN JOURNAL OF SOCIAL ISSUES","AUST J SOC ISSUES","WILEY","0157-6321","1839-4655","SOCIAL ISSUES","SSCI","919","1.9","0.66","2.3","80.25"%,"100"%,"67",
"Asian Business & Management","ASIAN BUS MANAG","PALGRAVE MACMILLAN LTD","1472-4782","1476-9328","BUSINESS","SSCI","908","2.8","0.5","3.2","13.83"%,"91.3"%,"23",
"Asian Business & Management","ASIAN BUS MANAG","PALGRAVE MACMILLAN LTD","1472-4782","1476-9328","MANAGEMENT","SSCI","908","2.8","0.5","3.2","13.83"%,"91.3"%,"23",
"Asia-Pacific Journal of Accounting & Economics","ASIA-PAC J ACCOUNT E","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1608-1625","2164-2257","BUSINESS, FINANCE","SSCI","901","1.6","0.37","1.7","4.88"%,"100"%,"51",
"Asia-Pacific Journal of Accounting & Economics","ASIA-PAC J ACCOUNT E","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1608-1625","2164-2257","ECONOMICS","SSCI","901","1.6","0.37","1.7","4.88"%,"100"%,"51",
"Agricultural Finance Review","AGRIC FINANCE REV","EMERALD GROUP PUBLISHING LTD","0002-1466","2041-6326","AGRICULTURAL ECONOMICS & POLICY","ESCI","889","1.9","0.61","2","12.35"%,"100"%,"28",
"ECONOMIC DEVELOPMENT QUARTERLY","ECON DEV Q","SAGE PUBLICATIONS INC","0891-2424","1552-3543","DEVELOPMENT STUDIES","SSCI","888","1.6","0.41","1.7","1.96"%,"100"%,"17",
"ECONOMIC DEVELOPMENT QUARTERLY","ECON DEV Q","SAGE PUBLICATIONS INC","0891-2424","1552-3543","ECONOMICS","SSCI","888","1.6","0.41","1.7","1.96"%,"100"%,"17",
"ECONOMIC DEVELOPMENT QUARTERLY","ECON DEV Q","SAGE PUBLICATIONS INC","0891-2424","1552-3543","URBAN STUDIES","SSCI","888","1.6","0.41","1.7","1.96"%,"100"%,"17",
"CANADIAN JOURNAL OF DEVELOPMENT STUDIES-REVUE CANADIENNE D ETUDES DU DEVELOPPEMENT","CAN J DEV STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0225-5189","2158-9100","DEVELOPMENT STUDIES","SSCI","866","0.7","0.46","1.9","29.67"%,"100"%,"17",
"Accounting Research Journal","ACCOUNT RES J","EMERALD GROUP PUBLISHING LTD","1030-9616","1839-5465","BUSINESS, FINANCE","ESCI","848","2.1","0.6","2.5","4.94"%,"91.67"%,"36",
"Constitutional Political Economy","CONST POLITICAL ECON","SPRINGER","1043-4062","1572-9966","LAW","ESCI","842","0.7","0.89","0.8","48.24"%,"100"%,"24",
"ACM Transactions on Modeling and Computer Simulation","ACM T MODEL COMPUT S","ASSOC COMPUTING MACHINERY","1049-3301","1558-1195","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","831","1.9","0.55","1.5","10.67"%,"100"%,"32",
"ACM Transactions on Modeling and Computer Simulation","ACM T MODEL COMPUT S","ASSOC COMPUTING MACHINERY","1049-3301","1558-1195","MATHEMATICS, APPLIED","SCIE","831","1.9","0.55","1.5","10.67"%,"100"%,"32",
"Capital and Class","CAP CL","SAGE PUBLICATIONS INC","0309-8168","2041-0980","POLITICAL SCIENCE","ESCI","830","1.1","0.45","1.7","37.5"%,"93.33"%,"30",
"Cultural Trends","CULT TRENDS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0954-8963","1469-3690","CULTURAL STUDIES","AHCI, SSCI","825","1.3","1.75","2.3","43.33"%,"92.86"%,"42",
"Cultural Trends","CULT TRENDS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0954-8963","1469-3690","HUMANITIES, MULTIDISCIPLINARY","AHCI","825","1.3","1.75","2.3","43.33"%,"92.86"%,"42",
"Cultural Trends","CULT TRENDS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0954-8963","1469-3690","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","825","1.3","1.75","2.3","43.33"%,"92.86"%,"42",
"ALTERNATIVES","ALTERNATIVES","SAGE PUBLICATIONS INC","0304-3754","2163-3150","INTERNATIONAL RELATIONS","SSCI","817","2.1","0.9","1.8","28.24"%,"89.47"%,"38",
"Asian Review of Accounting","ASIAN REV ACCOUNT","EMERALD GROUP PUBLISHING LTD","1321-7348","1758-8863","BUSINESS, FINANCE","ESCI","800","1.9","0.63","2.2","2.54"%,"100"%,"27",
"Australasian Accounting Business and Finance Journal","AUSTRALAS ACCOUNT BU","UNIV WOLLONGONG","1834-2000","1834-2019","BUSINESS, FINANCE","ESCI","789","1.9","0.59","2.1","9.83"%,"96.77"%,"62",
"4OR-A Quarterly Journal of Operations Research","4OR-Q J OPER RES","SPRINGER HEIDELBERG","1619-4500","1614-2411","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","782","2.6","0.36","2.5","16.67"%,"100"%,"9",
